,user,text
116,ARahmart,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…"
117,Camille_arianne,@KimmyKy2 @BecomingDataSci Applied math
118,OfficialLawalT,@KimmyKy2 @BecomingDataSci Systems engineering
119,BecomingDataSci,"@KimmyKy2 BS: Integrated Science and Technology
MS: Systems Engineering"
120,iflores_siaca,"@KimmyKy2 Undergrad: Ecology and a lot of Social Science &amp; Humanities courses

Grad: Data Science"
121,catherinezh,@KimmyKy2 Sociology
122,cristianvaldez5,@KimmyKy2 Physics and Mathematics
123,itscarolzee,@KimmyKy2 Physics and Physiology joint major
124,ryankelleydata,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…"
125,ericpfreeman,@KimmyKy2 Chemical Engineering
126,AdamJRuby,@KimmyKy2 Physics
127,mjpetrey,"@KimmyKy2 BA: Mathematics
MA: Masters in Teaching, Secondary Math
MS: Analytics (finishing this December)"
128,TB_Gooner,"@KimmyKy2 BS: Math
MS, PHD: Computational and Applied Math"
129,bearloga,"@KimmyKy2 Undergrad: Mathematics (Probability &amp; Statistics)
Grad: Statistical Practice"
130,astroeringrand,@KimmyKy2 Astronomy and Physics https://t.co/KzDedfqdfb
131,kierisi,"@KimmyKy2 BSc: Biochemistry
MA: Secondary Science Education"
132,kevinchas,@KimmyKy2 @oscar_b123 Political science.
133,BriannaNoland,"@KimmyKy2 Bachelor's: mathematical economics, Masters: stats."
134,mmmpork,@KimmyKy2 Anthropology
135,canyon289,@KimmyKy2 Mechanical engineering
136,KermytAnderson,@KimmyKy2 Anthroplogy/Biology
137,dorcasmariew,@KimmyKy2 Undergrad - math; grad- Applied Statistics
138,MahdiAustian,@KimmyKy2 Liberal Arts &amp; Sciences
139,jesus_guzman,@KimmyKy2 Liberal studies.
140,heyallisongray,@KimmyKy2 Psychology and Classics (concentration in Latin)
141,mjfabius,@KimmyKy2 Statistics
142,NumaDhamani,@KimmyKy2 Physics and Chemistry 👩‍🔬
143,atmwyatt,@KimmyKy2 French Lit. Master's and PhD work were heavily quantitative. Still find beauty in bringing a humanities b… https://t.co/xmpgxjbgz2
144,FGoldoust,@KimmyKy2 Electronics and Mathematical physics 🏁
145,patcasrom,"@KimmyKy2 Undergead: Biology, grad: Epidemiology"
146,pachamaltese,@KimmyKy2 Business and Economics
147,AliseOtilia,@KimmyKy2 Biomedical Science
148,anywillowbrook,@KimmyKy2 Religion
149,nimrodpriell,@KimmyKy2 Math. Minored in biology in undergrad.
150,CoreySparks1,@KimmyKy2 Anthropology
151,JeremyBrightbil,"@KimmyKy2 History, with international studies concentration in undergrad, Classical Languages (Greek and Latin) for PhD."
152,kouvaris3,@KimmyKy2 Accounting which lead me to an audit job at a broker/dealer with lots of data !
153,dailysup,"@KimmyKy2 Finance &amp; integrated information technology (@MooreSchool, @UofSC_CEC)"
154,gds506,@KimmyKy2 Forestry
155,jasdumas,@KimmyKy2 Biomedical Engineering
156,fistful_of_bass,@KimmyKy2 Ecology and computer science (German Uni) - interesting: many parallels between software architecture and experimental design.
157,brennanpcardiff,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…"
158,brennanpcardiff,@KimmyKy2 Biochemistry
159,rbjanis5,@KimmyKy2 Psychology
160,lta100163,"@KimmyKy2 BS computer science 
MS computer science 
Currently working on MS applied data science"
161,thisisdaryn,@KimmyKy2 Math + CS
162,kristophrdelane,@KimmyKy2 Bible and Religion
163,dearbharat1,@KimmyKy2 Physics
164,AGodefroidt,"@KimmyKy2 Communication Sciences—major in Media Effects &amp; Society

Political Sciences—major in International Relati… https://t.co/FQkE2nV0BU"
165,schartkoff,"@KimmyKy2 psychology, with a minor in communication. has served me amazingly well."
166,GallRaphael,"@KimmyKy2 BSc Liberal Arts &amp; Sciences, MSc Psychological Research"
167,dunmireg,@KimmyKy2 Computer science
168,gh_firefly,@KimmyKy2 English
169,shunley42,@KimmyKy2 Psychology and Religion (double major)
170,fmtycho,"@KimmyKy2 Philosophy, and I'm always surprised there aren't more of us on that route. 
Especially Philosophy of Language to NLP"
171,shourodasgupta,@KimmyKy2 Economics with a healthy dose of statistics.
172,AlanHochberg,"@KimmyKy2 Electrical Engineering, which in 1976 encompassed computer science."
173,jladata,"@KimmyKy2 Accounting, with a minor in CS for business majors"
174,mfarkhann,@KimmyKy2 Statistics
175,BeenFrederic,@KimmyKy2 @rstats4ds Forensic science
176,thosjleeper,"@KimmyKy2 Political Science and Global Studies, minor in Spanish."
177,sandrapintor,@KimmyKy2 Organizational Psychology
178,likyskyhu,@KimmyKy2 Marketing PhD~!
179,stevepiatkowski,@KimmyKy2 Engineering (General/Electrical Science)
180,vishal_katti,@KimmyKy2 Instrumentation &amp; Control Engineering
181,DeboraSantoPhD,@daniellequinn88 @KimmyKy2 Similar story here: molecular biology. Then I did a PhD in crop genetics which lead me to the AgTech field.
182,oziel_carneiro,@KimmyKy2 Computer science
183,ryan_ames,@KimmyKy2 Urban Planning
184,Shannon_E_Ellis,@KimmyKy2 Biology &amp; Spanish
185,alycolumbus,@KimmyKy2 Mathematics (w/ a specialization in Applied and Computational Mathematics)
186,_raneh_,@KimmyKy2 Geography
187,hglanz,@KimmyKy2 Statistics and Mathematics (double major)
188,_nelFrattempo,@KimmyKy2 However I am worried by the removal of tweets more and more frequently even in a technical discussion https://t.co/cXtzxLm6KI
189,chiuwilliam,"@KimmyKy2 Economics, but it wasn't enough to get a data science job, so I went back to school to a master degree in Analytics."
190,alonnir,@KimmyKy2 econ
191,_nelFrattempo,@KimmyKy2 Maths / Group Theory
192,riannone,@KimmyKy2 (Atmospheric) Chemistry
193,raissaphilibert,@KimmyKy2 Chemistry and Environmental science
194,j_pye,"@KimmyKy2 @mdsumner Computer science. First job was in oceanography, though."
195,ross_gayler,@KimmyKy2 Psychology + Computer Science followed by a PhD in Psychology
196,the_engi_nerd,@KimmyKy2 Engineering Physics
197,pybokeh,@KimmyKy2 industrial engineering
198,fjsosah,@nj_tierney @KimmyKy2 @mdsumner Psychology
199,BenjaminWolfe,"@KimmyKy2 Double major: Spanish and philosophy. So like, totally related."
200,_varunparikh,@dileep31 @KimmyKy2 @machinelearn_d Where from?
201,JHanlon,@KimmyKy2 Music &amp; English
202,TommyJEnglish,@KimmyKy2 Public Health
203,harish_guda,@KimmyKy2 Mechanical Engineering and Operations Research
204,apreshill,@KimmyKy2 Applied psychology
205,Ross_Dahlke,@KimmyKy2 Journalism and political science
206,Pete1729,"@KimmyKy2 Engineering in undergrad. For postgrad, PhD in data science"
207,marisalyn,@KimmyKy2 environmental engineering -&gt; applied math and stats + econ research -&gt; data science!
208,JohnBVincent,"@KimmyKy2 @nj_tierney Biology, ecology/evolution"
209,dwhdai,"@KimmyKy2 @nj_tierney Biological sciences undergrad, Biostatistics Masters"
210,greg_dubrow,"@KimmyKy2 Film major undergrad, no math or science courses. Higher ed policy for MS/PhD. Grad assistantship in poli… https://t.co/lGUb0RRo6i"
211,maguiiiar,@KimmyKy2 Statistics
212,sbtr11,@KimmyKy2 same
213,hrbrmstr,@KimmyKy2 CompSci w/Math &amp; Engineering minors.
214,seankross,@KimmyKy2 @nj_tierney Biology and Computer Science
215,nj_tierney,"@KimmyKy2 @mdsumner Psychological Sciences + Honours for Undergraduate, PhD in statistics afterwards."
