,user,text,clean_response,clean_response_2,clean_response_3
117,gkampolis,"@KimmyKy2 MEng: Mineral Resources Engineering

MSc: Renewable Energy &amp; Environmental Modelling

Now finishing a MSc… https://t.co/gfdZ1jCW2Z",Engineering,,
118,MikeLwrnc,@KimmyKy2 Psychology,Psychology,,
119,simaspaulikas,@KimmyKy2 Economics and Finance,Economics,Finance,
120,Kuprinasha,"@KimmyKy2 I’m a data analyst, I studied International business (Marketing) in university and programming in my spare time",Business,,
121,quartergoddess,@KimmyKy2 History and Political Science,History,Political Science,
122,DataJunkie,"@KimmyKy2 Mathematics, Statistics, Computer Science",Math,Statistics,Computer Science
123,djcentos6,"@KimmyKy2 Atmospheric Science BS, MS with concentration/research in computational modeling",Atmospheric Science,,
124,revodavid,@KimmyKy2 Statistics and Computer Science,Statistics,Computer Science,
125,jcrichardson617,@KimmyKy2 BS: biology. PhD: ecology,Biology,,
126,RevDocGabriel,"@KimmyKy2 Undergrads: econ, math, christian scriptures, and interdisciplinary arts. Doctoral: sacred theology (ThD)… https://t.co/bDlbfXXn3m",Economics,Math,
127,AstroVivi,@KimmyKy2 Physics,Physics,,
128,DaveS002,@KimmyKy2 Statistics,Statistics,,
129,Richard_S_Hanna,@KimmyKy2 Mechanical and Biomedical Engineering,Engineering,,
130,pedropenzuti,@KimmyKy2 Genetics!,Biology,,
131,dashstander,@KimmyKy2 Applied math,Math,,
132,awlahMaestro,@KimmyKy2 Actuarial Science w/ comp sci minor,Actuarial Science,,
133,nicholdav,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…",,,
134,rhovdey,@KimmyKy2 Biomedical Science!,Biomedical Science,,
135,HendraRespati,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…",,,
136,WMwisp,@KimmyKy2 Education  and sociology. Really got interested in quantitative analysis from my social science research and statistics class.,Education,Sociology,
137,grizr1,@KimmyKy2 @rstats4ds English and Classical Humanities,English,Classical Humanities,
138,am_innocenter,@KimmyKy2 Math and computer science @threadreaderapp,Math,Computer Science,
139,MeerMaurits,@KimmyKy2 Mathematics,Math,,
140,Dario_barcelona,RT @jcllobet: @KimmyKy2 @BecomingDataSci Industrial Engineering (no major takeawayes besides the scientific method). Now creating https://t…,Engineering,,
141,data_jackalope,"@KimmyKy2 Undergrad: Psychology, minor in Econ.

Dropped out of an MA/PhD program in Folklore, and then dropped out… https://t.co/WNEAfy8VAo",Psychology,,
142,WendyPickel,@KimmyKy2 Psychology,Psychology,,
143,vijaygagu,@KimmyKy2 Statistics,Statistics,,
144,lariebyrd,@KimmyKy2 Chemistry,Chemistry,,
145,russellcbrown,@KimmyKy2 Psychology,Psychology,,
146,tjmahr,@KimmyKy2 Linguistics and English,Linguistics,English,
147,statML_collin,"@KimmyKy2 Math. 

Then MSc in machine learning and PhD in statistics.",Math,,
148,KerrySway,@KimmyKy2 Financial Engineering,Engineering,,
149,nsmith_piano,@quantum_relic @KimmyKy2 I was a music major too. Piano pedagogy and math undergraduate. MM and DMA piano performance,Music,,
150,ZimanaAnalytics,@KimmyKy2 Mechanical Engineering with a MBA later on. ^PDeB,Engineering,,
151,jjbergerl,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…",,,
152,LaurenEngle,@KimmyKy2 Undergrad: Economics and Finance Grad: Analytics,Economics,Finance,
153,categitau_,"@KimmyKy2 Mathematics and Computer science, majored in Statistics.",Math,Computer Science,
154,VCampanacho,@KermytAnderson @KimmyKy2 Anthropology,Anthropology,,
155,Data_Guru_,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…",,,
156,giuice,@KimmyKy2 Computer Science,Computer Science,,
157,quantum_relic,@KimmyKy2 Undergraduate degree was Broad Area Music. Master's degree was Information Systems Management.,Music,,
158,rkahne,"@KimmyKy2 Undergrad: Poli Sci and Economics,
Masters: Public Policy.  Tons of econometrics in policy degrees, so it… https://t.co/0I6ab0FKdh",Political Science,Economics,
159,apolmig,RT @jcllobet: @KimmyKy2 @BecomingDataSci Industrial Engineering (no major takeawayes besides the scientific method). Now creating https://t…,,,
160,natewjessee,@KimmyKy2 Political Science,Political Science,,
161,nophilterphil,@KimmyKy2 Business/Econ,Business,Economics,
162,rogers_k8,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…",,,
163,jcllobet,@KimmyKy2 @BecomingDataSci Industrial Engineering (no major takeawayes besides the scientific method). Now creating… https://t.co/X9tVr4CXHa,,,
164,rmflight,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…",,,
165,rmflight,"@KimmyKy2 Biology-Chemistry. MSc in Chemistry, PhD in Chemistry. Didn't start programming until PhD.

I do metabolo… https://t.co/1LxK6U3TcW",Biology,Chemistry,
166,Sopcaja,@KimmyKy2 (pure) math + physics,Math,Physics,
167,unless_if,"@KimmyKy2 Physics, minor in Math",Physics,,
168,ARahmart,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…",,,
169,Camille_arianne,@KimmyKy2 @BecomingDataSci Applied math,Math,,
170,OfficialLawalT,@KimmyKy2 @BecomingDataSci Systems engineering,Engineering,,
171,BecomingDataSci,"@KimmyKy2 BS: Integrated Science and Technology
MS: Systems Engineering",Integrated Science and Technology,,
172,iflores_siaca,"@KimmyKy2 Undergrad: Ecology and a lot of Social Science &amp; Humanities courses

Grad: Data Science",Ecology,,
173,catherinezh,@KimmyKy2 Sociology,Sociology,,
174,cristianvaldez5,@KimmyKy2 Physics and Mathematics,Physics,Math,
175,itscarolzee,@KimmyKy2 Physics and Physiology joint major,Physics,Physiology,
176,ryankelleydata,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…",,,
177,ericpfreeman,@KimmyKy2 Chemical Engineering,Engineering,,
